of, 22, 0.07, 0.0
in, 14, 0.04, 0.0
the, 14, 0.04, 0.0
and, 10, 0.03, 0.0
eulenburg, 9, 0.03, 0.09
he, 9, 0.03, 0.01
was, 7, 0.02, 0.0
caprivi, 5, 0.02, 0.06
a, 5, 0.02, 0.0
to, 5, 0.02, 0.0
zu, 4, 0.01, 0.03
his, 4, 0.01, 0.01
german, 3, 0.01, 0.01
prussian, 3, 0.01, 0.03
an, 3, 0.01, 0.0
as, 3, 0.01, 0.0
at, 3, 0.01, 0.0
botho, 3, 0.01, 0.03
minister, 3, 0.01, 0.02
for, 3, 0.01, 0.0
von, 3, 0.01, 0.02
president, 3, 0.01, 0.02
antisocialist, 2, 0.01, 0.03
thought, 2, 0.01, 0.03
province, 2, 0.01, 0.02
neustadt, 2, 0.01, 0.03
ii, 2, 0.01, 0.02
prime, 2, 0.01, 0.02
dismissed, 2, 0.01, 0.03
prussia, 2, 0.01, 0.03
wilhelm, 2, 0.01, 0.03
by, 2, 0.01, 0.0
berlin, 2, 0.01, 0.02
had, 2, 0.01, 0.01
only, 2, 0.01, 0.02
from, 2, 0.01, 0.0
often, 2, 0.01, 0.02
september, 2, 0.01, 0.02
february, 2, 0.01, 0.02
cousin, 2, 0.01, 0.03
